Town,Year,Call Reason,Action,Count
Leverett,2019,"FIRE, OTHER NON-SPECIFIC",Services Rendered,2
Leverett,2019,FIRE WORKS,ACCIDENTAL,1
Leverett,2019,FOLLOW UP INVESTIGATION,Investigated,9
Leverett,2019,FOLLOW UP INVESTIGATION,No Action Required,2
Leverett,2019,FOLLOW UP INVESTIGATION,Negative Contact,3
Leverett,2019,FOLLOW UP INVESTIGATION,Report Taken,1
Leverett,2019,FOLLOW UP INVESTIGATION,Services Rendered,6
Leverett,2019,FRAUD/SCAM,Investigated,1
Leverett,2019,FRAUD/SCAM,Report Taken,2
Leverett,2019,GAS LEAK,Call Given to an Officer,1
Leverett,2019,GENERAL INFO,Call Given to an Officer,5
Leverett,2019,GENERAL INFO,No Action Required,1
Leverett,2019,GENERAL INFO,Notification,1
Leverett,2019,GENERAL INFO,Report Taken,1
Leverett,2019,GENERAL INFO,Services Rendered,1
Leverett,2019,GENERAL INFO,Transferred/Ref to Highway,1
Leverett,2019,ILLEGAL BURN,Extinguished,1
Leverett,2019,ILLEGAL DUMPING,Report Taken,1
Leverett,2019,ILLEGAL DUMPING,Services Rendered,1
Leverett,2019,INVESTIGATION,Investigated,3
Leverett,2019,LARCENY,Investigated,2
Leverett,2019,LARCENY,Report Taken,2
Leverett,2019,LARCENY,TRANSFERRED TO STATE POLICE,2
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Investigated,3
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",No Action Required,1
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Removed Hazard,2
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Taken/Referred to Other Agency,1
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Services Rendered,4
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Transferred/Ref to Highway,2
Leverett,2019,"LINE DOWN, POWER,PHONE OR CABL",Transferred/Ref to Utility,7
Leverett,2019,LOCKOUT,Services Rendered,3
Leverett,2019,MEDICAL EMERGENCY,BAYSTATE SPRINGFIELD MED CTR,4
Leverett,2019,MEDICAL EMERGENCY,COOLEY DICKINSON HOSPITAL,28
Leverett,2019,MEDICAL EMERGENCY,FRANKLIN MEDICAL CENTER,12
Leverett,2019,MEDICAL EMERGENCY,No Transport/Patient Refusal,6
Leverett,2019,MEDICAL EMERGENCY,Other Hospital,1
Leverett,2019,MEDICAL EMERGENCY,Patient Refusal,6
Leverett,2019,MEDICAL EMERGENCY,Services Rendered,9
Leverett,2019,MISSING PERSON,Report Taken,1
Leverett,2019,MISCELLANEOUS,Checks Okay,1
Leverett,2019,MISCELLANEOUS,Call Given to an Officer,2
Leverett,2019,MISCELLANEOUS,Dispatch Handled,1
Leverett,2019,MISCELLANEOUS,FALSE Alarm,1
Leverett,2019,MISCELLANEOUS,No Action Required,4
Leverett,2019,MISCELLANEOUS,Report Taken,1
Leverett,2019,MISCELLANEOUS,Services Rendered,18
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Arrest(s) Made,1
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Call Given to an Officer,1
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Gone On Arrival,1
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Investigated,6
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Report Taken,5
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Services Rendered,6
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,TRANSFERRED TO STATE POLICE,1
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Unfounded,2
Leverett,2019,MOTOR VEHICLE ACCIDENT NO INJU,Vehicle Towed,3
Leverett,2019,MOTOR VEHICLE COMPLAINT,Checks Okay,1
Leverett,2019,MOTOR VEHICLE COMPLAINT,Call Given to an Officer,2
Leverett,2019,MOTOR VEHICLE COMPLAINT,Could Not Locate,1
Leverett,2019,MOTOR VEHICLE COMPLAINT,Gone On Arrival,2
Leverett,2019,MOTOR VEHICLE COMPLAINT,Investigated,2
Leverett,2019,MOTOR VEHICLE COMPLAINT,Negative Contact,2
Leverett,2019,MOTOR VEHICLE COMPLAINT,Taken/Referred to Other Agency,1
Leverett,2019,MOTOR VEHICLE COMPLAINT,Services Rendered,1
Leverett,2019,MOTOR VEHICLE COMPLAINT,Verbal Warning,1
Leverett,2019,MOTOR VEHICLE ACCIDE W/INJURY,Investigated,1
Leverett,2019,MOTOR VEHICLE ACCIDE W/INJURY,Patient Refusal,1
Leverett,2019,MOTOR VEHICLE - STOLEN,TRANSFERRED TO STATE POLICE,1
Leverett,2019,MOTOR VEHICLE VIOLATION,Unknown,2
Leverett,2019,MOTOR VEHICLE VIOLATION,ACCIDENTAL,5
Leverett,2019,MOTOR VEHICLE VIOLATION,Arrest(s) Made,6
Leverett,2019,MOTOR VEHICLE VIOLATION,Call Cancelled,5
Leverett,2019,MOTOR VEHICLE VIOLATION,Citation/Warning Issued,487
Leverett,2019,MOTOR VEHICLE VIOLATION,CRIMINAL APPLICATION,3
Leverett,2019,MOTOR VEHICLE VIOLATION,FRANKLIN MEDICAL CENTER,1
Leverett,2019,MOTOR VEHICLE VIOLATION,Investigated,9
Leverett,2019,MOTOR VEHICLE VIOLATION,No Action Required,14
Leverett,2019,MOTOR VEHICLE VIOLATION,Report Taken,1
Leverett,2019,MOTOR VEHICLE VIOLATION,Services Rendered,2
Leverett,2019,MOTOR VEHICLE VIOLATION,Vehicle Towed,23
Leverett,2019,MOTOR VEHICLE VIOLATION,Verbal Warning,363
Leverett,2019,NOISE COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2019,NOTIFICATION,Call Given to an Officer,2
Leverett,2019,NOTIFICATION,Investigated,1
Leverett,2019,NOTIFICATION,No Action Required,2
Leverett,2019,NOTIFICATION,Negative Contact,2
Leverett,2019,NOTIFICATION,Notification,1
Leverett,2019,NOTIFICATION,Taken/Referred to Other Agency,1
Leverett,2019,NOTIFICATION,Services Rendered,1
Leverett,2019,ODOR INVESTIGATION,Investigated,1
Leverett,2019,OFFICER WANTED,Could Not Locate,1
Leverett,2019,OFFICER WANTED,Investigated,2
Leverett,2019,OFFICER WANTED,Report Taken,3
Leverett,2019,OFFICER WANTED,Peace Restored,2
Leverett,2019,OFFICER WANTED,Services Rendered,6
Leverett,2019,OFFICER WANTED,TRANSFERRED TO STATE POLICE,5
Leverett,2019,PAPERWORK SERVICE,Could Not Locate,1
Leverett,2019,PAPERWORK SERVICE,Investigated,1
Leverett,2019,PAPERWORK SERVICE,No Action Required,1
Leverett,2019,PAPERWORK SERVICE,Negative Contact,13
Leverett,2019,PAPERWORK SERVICE,NOBODY HOME,2
Leverett,2019,PAPERWORK SERVICE,SERVED IN HAND,40
Leverett,2019,PAPERWORK SERVICE,Services Rendered,13
Leverett,2019,PATROL AREA,Citation/Warning Issued,1
Leverett,2019,PATROL AREA,Checks Okay,183
Leverett,2019,PATROL AREA,No Action Required,42
Leverett,2019,PATROL AREA,Negative Contact,1
Leverett,2019,PATROL AREA,Removed Hazard,1
Leverett,2019,PATROL AREA,Services Rendered,37
Leverett,2019,PATROL AREA,Transferred/Ref to Highway,1
Leverett,2019,PATROL AREA,Unfounded,1
Leverett,2019,POWER OUTAGE/FAILURE,Transferred/Ref to Utility,1
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,ACCIDENTAL,3
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Building Checked/Secured,1
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Citation/Warning Issued,47
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Checks Okay,3
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,CRIMINAL APPLICATION,2
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Investigated,7
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,No Action Required,545
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,SERVED IN HAND,1
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Services Rendered,303
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Vehicle Towed,1
Leverett,2019,RADAR/TRAFFIC ENFORCEMENT,Verbal Warning,7
Leverett,2019,ROLLING 9,Citation/Warning Issued,1
Leverett,2019,ROLLING 9,Investigated,2
Leverett,2019,ROLLING 9,No Action Required,2
Leverett,2019,SAFETY HAZARD,Investigated,1
Leverett,2019,SAFETY HAZARD,Removed Hazard,5
Leverett,2019,SAFETY HAZARD,Taken/Referred to Other Agency,3
Leverett,2019,SAFETY HAZARD,Services Rendered,5
Leverett,2019,SAFETY HAZARD,Transferred/Ref to Highway,3
Leverett,2019,SAFETY HAZARD,Transferred/Ref to Utility,4
Leverett,2019,SERVICE CALL,Call Given to an Officer,1
Leverett,2019,SERVICE CALL,Investigated,1
Leverett,2019,SERVICE CALL,Negative Contact,1
Leverett,2019,SERVICE CALL,Services Rendered,5
Leverett,2019,SHOTS FIRED,Investigated,1
Leverett,2019,SUMMONS SERVICE,SERVED IN HAND,1
Leverett,2019,SUSPICIOUS PERSON,Investigated,1
Leverett,2019,SUSPICIOUS PERSON,Taken/Referred to Other Agency,1
Leverett,2019,SUSPICIOUS PERSON,TRANSFERRED TO STATE POLICE,1
Leverett,2019,SUSPICIOUS ACTIVITY,Checks Okay,1
Leverett,2019,SUSPICIOUS ACTIVITY,Investigated,1
Leverett,2019,SUSPICIOUS ACTIVITY,TRANSFERRED TO STATE POLICE,1
Leverett,2019,SUSPICIOUS VEHICLE,Citation/Warning Issued,1
Leverett,2019,SUSPICIOUS VEHICLE,Investigated,1
Leverett,2019,SUSPICIOUS VEHICLE,Negative Contact,1
Leverett,2019,SUSPICIOUS VEHICLE,Services Rendered,2
Leverett,2019,SUSPICIOUS VEHICLE,TRANSFERRED TO STATE POLICE,3
Leverett,2019,THREAT,Investigated,1
Leverett,2019,TRAFFIC HAZARD,Investigated,1
Leverett,2019,TRAFFIC HAZARD,No Action Required,1
Leverett,2019,TRAFFIC HAZARD,Removed Hazard,7
Leverett,2019,TRAFFIC HAZARD,Taken/Referred to Other Agency,3
Leverett,2019,TRAFFIC HAZARD,Report Taken,1
Leverett,2019,TRAFFIC HAZARD,Services Rendered,7
Leverett,2019,TRAFFIC HAZARD,Transferred/Ref to Highway,5
Leverett,2019,TRAFFIC HAZARD,TRANSFERRED TO STATE POLICE,2
Leverett,2019,TRAFFIC HAZARD,Transferred/Ref to Utility,1
Leverett,2019,TRAFFIC HAZARD,UMASS MEDICAL CTR,1
Leverett,2019,TRAFFIC CONTROL,Citation/Warning Issued,1
Leverett,2019,TRAFFIC CONTROL,No Action Required,51
Leverett,2019,TRAFFIC CONTROL,Services Rendered,17
Leverett,2019,TRESPASS,Investigated,2
Leverett,2019,TRESPASS,Report Taken,1
Leverett,2019,UNWANTED PERSON,FRANKLIN MEDICAL CENTER,1
Leverett,2019,UNWANTED PERSON,Investigated,2
Leverett,2019,UNWANTED PERSON,Peace Restored,1
Leverett,2019,UNWANTED PERSON,Services Rendered,1
Leverett,2019,SERVE WARRANT,Arrest(s) Made,1
Leverett,2019,SERVE WARRANT,Investigated,1
Leverett,2019,SERVE WARRANT,Negative Contact,1
Leverett,2020,209A SERVICE,Transferred/Ref to Highway,1
Leverett,2020,209A SERVICE,Call Given to an Officer,13
Leverett,2020,ABANDONED 911 CALL,FRANKLIN MEDICAL CENTER,19
Leverett,2020,ABANDONED 911 CALL,Good Intent,2
Leverett,2020,ABANDONED 911 CALL,Negative Contact,1
Leverett,2020,ABANDONED 911 CALL,Investigated,2
Leverett,2020,ABANDONED 911 CALL,Could Not Locate,1
Leverett,2020,ABANDONED 911 CALL,No Action Required,1
Leverett,2020,911 CALL,ACCIDENTAL,3
Leverett,2020,911 CALL,Taken to Family/Guardian/Other,2
Leverett,2020,911 CALL,Good Intent,4
Leverett,2020,911 CALL,TRANSFERRED TO STATE POLICE,1
Leverett,2020,911 CALL,Negative Contact,2
Leverett,2020,911 CALL,Investigated,2
Leverett,2020,911 CALL,BAYSTATE SPRINGFIELD MED CTR,1
Leverett,2020,911 CALL,Checks Okay,2
Leverett,2020,911 CALL,No Action Required,1
Leverett,2020,911 CALL,Unfounded,1
Leverett,2020,911 HANG UP,Good Intent,1
Leverett,2020,911 HANG UP,BAYSTATE SPRINGFIELD MED CTR,1
Leverett,2020,911 HANG UP,Services Rendered,6
Leverett,2020,911 MIS DIAL,ACCIDENTAL,1
Leverett,2020,911 MIS DIAL,Good Intent,1
Leverett,2020,911 MIS DIAL,Transferred/Ref to Highway,1
Leverett,2020,911 MIS DIAL,Dispatch Handled,1
Leverett,2020,911 MIS DIAL,Investigated,2
Leverett,2020,911 MIS DIAL,FALSE Alarm,3
Leverett,2020,911 MIS DIAL,No Action Required,4
Leverett,2020,ABANDONED MV,Citation/Warning Issued,359
Leverett,2020,ABANDONED MV,Investigated,2
Leverett,2020,ADMINISTRATIVE,Citation/Warning Issued,18
Leverett,2020,ADMINISTRATIVE,TRANSFERRED TO STATE POLICE,1
Leverett,2020,ADMINISTRATIVE,Taken/Referred to Other Agency,4
Leverett,2020,ADMINISTRATIVE,Services Rendered,1
Leverett,2020,ADMINISTRATIVE,Checks Okay,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,ACCIDENTAL,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,Call Given to an Officer,3
Leverett,2020,ALARM BURGLAR OR HOLDUP,Call Given to an Officer,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,Citation/Warning Issued,3
Leverett,2020,ALARM BURGLAR OR HOLDUP,TRANSFERRED TO STATE POLICE,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,Negative Contact,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,Call Given to an Officer,1
Leverett,2020,ALARM BURGLAR OR HOLDUP,Investigated,3
Leverett,2020,ALARM BURGLAR OR HOLDUP,No Action Required,4
Leverett,2020,ALARM BURGLAR OR HOLDUP,Unfounded,1
Leverett,2020,EMS ALARM - LIFELINE ACTIVATED,ACCIDENTAL,2
Leverett,2020,EMS ALARM - LIFELINE ACTIVATED,Call Given to an Officer,2
Leverett,2020,EMS ALARM - LIFELINE ACTIVATED,Could Not Locate,1
Leverett,2020,FIRE ALARM,Call Given to an Officer,1
Leverett,2020,FIRE ALARM,Investigated,4
Leverett,2020,FIRE ALARM,Checks Okay,2
Leverett,2020,ANIMAL COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2020,ANIMAL COMPLAINT,Transferred/Ref to Highway,1
Leverett,2020,ANIMAL COMPLAINT,Report Taken,3
Leverett,2020,ANIMAL COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2020,ANIMAL COMPLAINT,Dispatch Handled,1
Leverett,2020,ANIMAL COMPLAINT,Report Taken,1
Leverett,2020,ANIMAL COMPLAINT,Investigated,11
Leverett,2020,ANIMAL COMPLAINT,Taken/Referred to Other Agency,1
Leverett,2020,ANIMAL COMPLAINT,FALSE Alarm,1
Leverett,2020,ANIMAL COMPLAINT,Negative Contact,1
Leverett,2020,ANIMAL COMPLAINT,Checks Okay,2
Leverett,2020,ANIMAL COMPLAINT,Could Not Locate,1
Leverett,2020,ANIMAL COMPLAINT,Services Rendered,1
Leverett,2020,ANIMAL COMPLAINT,Checks Okay,4
Leverett,2020,ANIMAL COMPLAINT,Vehicle Towed,1
Leverett,2020,ANIMAL COMPLAINT,No Action Required,2
Leverett,2020,ANIMAL COMPLAINT,Unfounded,3
Leverett,2020,ASSIST CITIZEN,Negative Contact,1
Leverett,2020,ASSIST CITIZEN,Dispatch Handled,1
Leverett,2020,ASSIST CITIZEN,Investigated,2
Leverett,2020,ASSIST CITIZEN,Taken/Referred to Other Agency,1
Leverett,2020,ASSIST CITIZEN,CRIMINAL APPLICATION,16
Leverett,2020,ASSIST CITIZEN,Negative Contact,1
Leverett,2020,ASSIST CITIZEN,Services Rendered,2
Leverett,2020,ASSIST CITIZEN,Checks Okay,2
Leverett,2020,ASSIST OTHER AGENCY,Investigated,4
Leverett,2020,ASSIST OTHER AGENCY,Taken/Referred to Other Agency,1
Leverett,2020,ASSIST OTHER AGENCY,Notification,1
Leverett,2020,ASSIST OTHER AGENCY,Checks Okay,125
Leverett,2020,ASSIST OTHER AGENCY,No Action Required,5
Leverett,2020,ARTICLES LOST,Investigated,1
Leverett,2020,ARTICLES RECOVERED,Transferred/Ref to Highway,1
Leverett,2020,ARTICLES RECOVERED,Dispatch Handled,1
Leverett,2020,ARTICLES RECOVERED,Investigated,1
Leverett,2020,ARTICLES RECOVERED,Taken/Referred to Other Agency,1
Leverett,2020,ARTICLES RECOVERED,Checks Okay,1
Leverett,2020,BUILDING/LOCATION CHECK,Call Given to an Officer,3
Leverett,2020,BUILDING/LOCATION CHECK,Arrest(s) Made,1
Leverett,2020,BUILDING/LOCATION CHECK,Transferred/Ref to Highway,3
Leverett,2020,BUILDING/LOCATION CHECK,TRANSFERRED TO STATE POLICE,1
Leverett,2020,BUILDING/LOCATION CHECK,Removed Hazard,1
Leverett,2020,BUILDING/LOCATION CHECK,Investigated,3
Leverett,2020,BUILDING/LOCATION CHECK,Taken/Referred to Other Agency,2
Leverett,2020,BUILDING/LOCATION CHECK,Services Rendered,1
Leverett,2020,BUILDING/LOCATION CHECK,Checks Okay,3
Leverett,2020,BUILDING/LOCATION CHECK,,
Leverett,2020,BUILDING/LOCATION CHECK,,
Leverett,2020,CHECK WELFARE,Call Given to an Officer,3
Leverett,2020,CHECK WELFARE,Taken to Family/Guardian/Other,1
Leverett,2020,CHECK WELFARE,Arrest(s) Made,1
Leverett,2020,CHECK WELFARE,Removed Hazard,3
Leverett,2020,CHECK WELFARE,Investigated,5
Leverett,2020,CHECK WELFARE,Notification,2
Leverett,2020,CHECK WELFARE,Checks Okay,8
Leverett,2020,CHECK WELFARE,No Action Required,118
Leverett,2020,CHECK WELFARE,Unfounded,2
Leverett,2020,Civil Issue,Services Rendered,13
Leverett,2020,Civil Issue,Patient Refusal,1
Leverett,2020,CRUISER MAINTENANCE,Arrest(s) Made,4
Leverett,2020,CRUISER MAINTENANCE,No Transport/Patient Refusal,2
Leverett,2020,CRUISER MAINTENANCE,Patient Refusal,10
Leverett,2020,CARBON MONOXIDE HAZARD,Investigated,2
Leverett,2020,CARBON MONOXIDE HAZARD,Services Rendered,1
Leverett,2020,COMMUNITY POLICING,Arrest(s) Made,1
Leverett,2020,COMMUNITY POLICING,COOLEY DICKINSON HOSPITAL,1
Leverett,2020,COMMUNITY POLICING,Removed Hazard,1
Leverett,2020,COMMUNITY POLICING,No Transport/Patient Refusal,5
Leverett,2020,COMMUNITY POLICING,Services Rendered,59
Leverett,2020,COMPLAINT,COOLEY DICKINSON HOSPITAL,1
Leverett,2020,COMPLAINT,Investigated,2
Leverett,2020,COMPLAINT,Services Rendered,51
Leverett,2020,COMPLAINT,Services Rendered,25
Leverett,2020,COMPLAINT,Services Rendered,1
Leverett,2020,COURT,ACCIDENTAL,1
Leverett,2020,COURT,No Action Required,1
Leverett,2020,Car vs. Deer,COOLEY DICKINSON HOSPITAL,1
Leverett,2020,Car vs. Deer,Investigated,1
Leverett,2020,Car vs. Deer,Call Cancelled,2
Leverett,2020,Car vs. Deer,Peace Restored,1
Leverett,2020,Car vs. Deer,Services Rendered,19
Leverett,2020,Car vs. Deer,Verbal Warning,7
Leverett,2020,Car vs. Deer,No Action Required,1
Leverett,2020,Car vs. Deer,Report Taken,1
Leverett,2020,DISTURBANCE,No Action Required,2
Leverett,2020,DISTURBANCE,Services Rendered,29
Leverett,2020,DISABLED MV,Removed Hazard,3
Leverett,2020,DISABLED MV,No Action Required,1
Leverett,2020,DISABLED MV,Notification,1
Leverett,2020,DISABLED MV,Services Rendered,9
Leverett,2020,DISABLED MV,Referred to Animal Control,5
Leverett,2020,DOMESTIC,,
Leverett,2020,DOMESTIC,,
Leverett,2020,DOMESTIC,No Action Required,1
Leverett,2020,DETAIL REQUEST,TRANSFERRED TO STATE POLICE,1
Leverett,2020,DETAIL REQUEST,Notification,1
Leverett,2020,DETAIL REQUEST,Services Rendered,2
Leverett,2020,ESCORT/TRANSPORT,Services Rendered,27
Leverett,2020,FIREARMS LICENSING,TRANSFERRED TO STATE POLICE,1
Leverett,2020,FIREARMS LICENSING,Services Rendered,5
Leverett,2020,BRUSH FIRE,Services Rendered,1
Leverett,2020,STRUCTURE FIRE,Extinguished,1
Leverett,2020,"FIRE, OTHER NON-SPECIFIC",Call Given to an Officer,2
Leverett,2020,"FIRE, OTHER NON-SPECIFIC",CONFIRMED MIS-DIAL,1
Leverett,2020,"FIRE, OTHER NON-SPECIFIC",Services Rendered,105
Leverett,2020,"FIRE, OTHER NON-SPECIFIC",Transferred/Ref to Utility,1
Leverett,2020,VEHICLE FIRE,Extinguished,1
Leverett,2020,FIRE WORKS,Investigated,1
Leverett,2020,FIRE WORKS,Unfounded,2
Leverett,2020,FOLLOW UP INVESTIGATION,Investigated,6
Leverett,2020,FOLLOW UP INVESTIGATION,No Action Required,27
Leverett,2020,FOLLOW UP INVESTIGATION,Call Cancelled,1
Leverett,2020,FOLLOW UP INVESTIGATION,Protective Custody,1
Leverett,2020,FOLLOW UP INVESTIGATION,Peace Restored,1
Leverett,2020,FOLLOW UP INVESTIGATION,Services Rendered,2
Leverett,2020,FRAUD/SCAM,TRANSFERRED TO STATE POLICE,1
Leverett,2020,FRAUD/SCAM,Negative Contact,1
Leverett,2020,FRAUD/SCAM,Investigated,3
Leverett,2020,FRAUD/SCAM,Could Not Locate,1
Leverett,2020,FRAUD/SCAM,Peace Restored,1
Leverett,2020,FRAUD/SCAM,Services Rendered,33
Leverett,2020,GAS LEAK,Investigated,1
Leverett,2020,GAS LEAK,Services Rendered,9
Leverett,2020,GENERAL INFO,TRANSFERRED TO STATE POLICE,1
Leverett,2020,GENERAL INFO,TRANSFERRED TO STATE POLICE,1
Leverett,2020,GENERAL INFO,Report Taken,3
Leverett,2020,GENERAL INFO,Peace Restored,2
Leverett,2020,GENERAL INFO,Services Rendered,2
Leverett,2020,HARASSMENT,Investigated,1
Leverett,2020,HARASSMENT,Report Taken,1
Leverett,2020,INVESTIGATION,,
Leverett,2020,INVESTIGATION,,
Leverett,2020,INVESTIGATION,Taken to Family/Guardian/Other,1
Leverett,2020,INVESTIGATION,CONFIRMED MIS-DIAL,5
Leverett,2020,INVESTIGATION,Investigated,3
Leverett,2020,INVESTIGATION,Call Cancelled,1
Leverett,2020,INVESTIGATION,Notification,1
Leverett,2020,INVESTIGATION,Report Taken,2
Leverett,2020,INVESTIGATION,Services Rendered,1
Leverett,2020,INVESTIGATION,Gone On Arrival,1
Leverett,2020,INVESTIGATION,Transferred/Ref to Utility,1
Leverett,2020,KEEP THE PEACE,Investigated,1
Leverett,2020,KEEP THE PEACE,Services Rendered,286
Leverett,2020,KEEP THE PEACE,Services Rendered,9
Leverett,2020,LARCENY,Report Taken,3
Leverett,2020,LARCENY,Services Rendered,1
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Extinguished,2
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Investigated,4
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Negative Contact,1
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Vehicle Towed,1
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Services Rendered,3
Leverett,2020,LINE DOWN POWER PHONE OR CABL,Transferred/Ref to Utility,15
Leverett,2020,LOCKOUT,Services Rendered,35
Leverett,2020,MEDICAL EMERGENCY,Could Not Locate,1
Leverett,2020,MEDICAL EMERGENCY,SERVED IN HAND,1
Leverett,2020,MEDICAL EMERGENCY,Vehicle Towed,4
Leverett,2020,MEDICAL EMERGENCY,Investigated,2
Leverett,2020,MEDICAL EMERGENCY,Could Not Locate,1
Leverett,2020,MEDICAL EMERGENCY,Checks Okay,17
Leverett,2020,MEDICAL EMERGENCY,Services Rendered,1
Leverett,2020,MISSING PERSON,Could Not Locate,3
Leverett,2020,MISCELLANEOUS,CONFIRMED MIS-DIAL,2
Leverett,2020,MISCELLANEOUS,Faxed To Station,1
Leverett,2020,MISCELLANEOUS,Removed Hazard,13
Leverett,2020,MISCELLANEOUS,Vehicle Towed,2
Leverett,2020,MISCELLANEOUS,No Action Required,1
Leverett,2020,MISCELLANEOUS,Notification,1
Leverett,2020,MISCELLANEOUS,Report Taken,3
Leverett,2020,MISCELLANEOUS,Services Rendered,1
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Unknown,1
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Investigated,3
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Dispatch Handled,1
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Negative Contact,2
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Report Taken,2
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,No Action Required,1
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Unfounded,1
Leverett,2020,MOTOR VEHICLE ACCIDENT NO INJU,Report Taken,5
Leverett,2020,MOTOR VEHICLE COMPLAINT,Good Intent,1
Leverett,2020,MOTOR VEHICLE COMPLAINT,COOLEY DICKINSON HOSPITAL,1
Leverett,2020,MOTOR VEHICLE COMPLAINT,Investigated,3
Leverett,2020,MOTOR VEHICLE COMPLAINT,Could Not Locate,1
Leverett,2020,MOTOR VEHICLE COMPLAINT,Report Taken,1
Leverett,2020,MOTOR VEHICLE COMPLAINT,Services Rendered,7
Leverett,2020,MOTOR VEHICLE COMPLAINT,No Action Required,24
Leverett,2020,MOTOR VEHICLE COMPLAINT,Unfounded,1
Leverett,2020,MOTOR VEHICLE ACCIDE W/INJURY,Good Intent,2
Leverett,2020,MOTOR VEHICLE ACCIDE W/INJURY,Could Not Locate,1
Leverett,2020,MOTOR VEHICLE ACCIDE W/INJURY,Services Rendered,3
Leverett,2020,MOTOR VEHICLE ACCIDE W/INJURY,TRANSFERRED TO STATE POLICE,1
Leverett,2020,MOTOR VEHICLE ACCIDE W/INJURY,Report Taken,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Unknown,1
Leverett,2020,MOTOR VEHICLE VIOLATION,ACCIDENTAL,2
Leverett,2020,MOTOR VEHICLE VIOLATION,Good Intent,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Call Given to an Officer,2
Leverett,2020,MOTOR VEHICLE VIOLATION,Good Intent,1
Leverett,2020,MOTOR VEHICLE VIOLATION,CONFIRMED MIS-DIAL,4
Leverett,2020,MOTOR VEHICLE VIOLATION,Call Given to an Officer,1
Leverett,2020,MOTOR VEHICLE VIOLATION,NOBODY HOME,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Investigated,18
Leverett,2020,MOTOR VEHICLE VIOLATION,No Action Required,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Call Cancelled,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Services Rendered,1
Leverett,2020,MOTOR VEHICLE VIOLATION,Report Taken,7
Leverett,2020,MOTOR VEHICLE VIOLATION,Report Taken,1
Leverett,2020,NOISE COMPLAINT,COOLEY DICKINSON HOSPITAL,29
Leverett,2020,NOISE COMPLAINT,Investigated,2
Leverett,2020,NOISE COMPLAINT,Services Rendered,1
Leverett,2020,NOISE COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2020,NOISE COMPLAINT,Unfounded,1
Leverett,2020,NOTIFICATION,Faxed To Station,1
Leverett,2020,NOTIFICATION,Other Hospital,1
Leverett,2020,ODOR INVESTIGATION,COOLEY DICKINSON HOSPITAL,1
Leverett,2020,ODOR INVESTIGATION,Investigated,1
