"town","year","call_reason","actionname","actioncount"
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Building Checked/Secured",68
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Citation/Warning Issued",2
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Checks Okay",355
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Faxed To Station",4
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Investigated",2
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","No Action Required",93
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Negative Contact",1
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Notification",2
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Services Rendered",72
"Leverett",2019-01-01,"CHIMNEY FIRE","Services Rendered",2
"Leverett",2019-01-01,"CHECK WELFARE","Call Cancelled",1
"Leverett",2019-01-01,"CHECK WELFARE","COOLEY DICKINSON HOSPITAL",1
"Leverett",2019-01-01,"CHECK WELFARE","Checks Okay",1
"Leverett",2019-01-01,"CHECK WELFARE","FRANKLIN MEDICAL CENTER",1
"Leverett",2019-01-01,"CHECK WELFARE","Investigated",7
"Leverett",2019-01-01,"CHECK WELFARE","Negative Contact",3
"Leverett",2019-01-01,"CHECK WELFARE","No Transport/ Patient Refusal",1
"Leverett",2019-01-01,"CHECK WELFARE","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"CHECK WELFARE","Services Rendered",3
"Leverett",2019-01-01,"CHECK WELFARE","TRANSFERRED TO STATE POLICE",4
"Leverett",2019-01-01,"CHECK WELFARE","Unfounded",1
"Leverett",2019-01-01,"CRUISER MAINTENANCE","ACCIDENTAL",1
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Checks Okay",5
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Investigated",2
"Leverett",2019-01-01,"CRUISER MAINTENANCE","No Action Required",15
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Notification",1
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Report Taken",1
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Services Rendered",50
"Leverett",2019-01-01,"CRUISER MAINTENANCE","Vehicle Towed",1
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD","COOLEY DICKINSON HOSPITAL",1
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD","False Alarm",2
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD","Investigated",1
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD","Patient Refusal",1
"Leverett",2019-01-01,"CARBON MONOXIDE HAZARD","Services Rendered",2
"Leverett",2019-01-01,"COMMUNITY POLICING","Checks Okay",4
"Leverett",2019-01-01,"COMMUNITY POLICING","Good Intent",1
"Leverett",2019-01-01,"COMMUNITY POLICING","No Action Required",12
"Leverett",2019-01-01,"COMMUNITY POLICING","Services Rendered",22
"Leverett",2019-01-01,"COMPLAINT","Call Given to an Officer",1
"Leverett",2019-01-01,"COMPLAINT","Investigated",2
"Leverett",2019-01-01,"COMPLAINT","No Action Required",1
"Leverett",2019-01-01,"COMPLAINT","Transferred/Ref to Highway",1
"Leverett",2019-01-01,"COMPLAINT","Unfounded",1
"Leverett",2019-01-01,"COURT","No Action Required",2
"Leverett",2019-01-01,"COURT","Services Rendered",2
"Leverett",2019-01-01,"Car vs. Deer","Call Given to an Officer",1
"Leverett",2019-01-01,"Car vs. Deer","Investigated",2
"Leverett",2019-01-01,"Car vs. Deer","Report Taken",3
"Leverett",2019-01-01,"Car vs. Deer","Services Rendered",1
"Leverett",2019-01-01,"Car vs. Deer","Transferred/Ref to Highway",1
"Leverett",2019-01-01,"Car vs. Deer","TRANSFERRED TO STATE POLICE",3
"Leverett",2019-01-01,"DEATH","Services Rendered",1
"Leverett",2019-01-01,"DISTURBANCE","Could Not Locate",1
"Leverett",2019-01-01,"DISTURBANCE","Gone On Arrival",1
"Leverett",2019-01-01,"DISTURBANCE","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"DISTURBANCE","Report Taken",1
"Leverett",2019-01-01,"DISTURBANCE","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"DISABLED MV","Unknown",1
"Leverett",2019-01-01,"DISABLED MV","Investigated",3
"Leverett",2019-01-01,"DISABLED MV","No Action Required",3
"Leverett",2019-01-01,"DISABLED MV","Removed Hazard",1
"Leverett",2019-01-01,"DISABLED MV","Services Rendered",10
"Leverett",2019-01-01,"DISABLED MV","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"DISABLED MV","Vehicle Towed",3
"Leverett",2019-01-01,"DOMESTIC","BAYSTATE SPRINGFIELD MED CTR",1
"Leverett",2019-01-01,"Drill/Testing","Investigated",1
"Leverett",2019-01-01,"Drill/Testing","No Action Required",1
"Leverett",2019-01-01,"Drill/Testing","Services Rendered",4
"Leverett",2019-01-01,"DETAIL REQUEST","Call Given to an Officer",2
"Leverett",2019-01-01,"FIREARMS LICENSING","Investigated",1
"Leverett",2019-01-01,"FIREARMS LICENSING","No Action Required",4
"Leverett",2019-01-01,"FIREARMS LICENSING","Negative Contact",1
"Leverett",2019-01-01,"FIREARMS LICENSING","NOBODY HOME",2
"Leverett",2019-01-01,"FIREARMS LICENSING","SERVED IN HAND",2
"Leverett",2019-01-01,"FIREARMS LICENSING","Services Rendered",50
"Leverett",2019-01-01,"BRUSH FIRE","Extinguished",2
"Leverett",2019-01-01,"FIRE, OTHER NON-SPECIFIC","Services Rendered",2
"Leverett",2019-01-01,"FIRE WORKS","ACCIDENTAL",1
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION","Investigated",9
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION","No Action Required",2
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION","Negative Contact",3
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION","Report Taken",1
"Leverett",2019-01-01,"FOLLOW UP INVESTIGATION","Services Rendered",6
"Leverett",2019-01-01,"FRAUD/SCAM","Investigated",1
"Leverett",2019-01-01,"FRAUD/SCAM","Report Taken",2
"Leverett",2019-01-01,"GAS LEAK","Call Given to an Officer",1
"Leverett",2019-01-01,"GENERAL INFO","Call Given to an Officer",5
"Leverett",2019-01-01,"GENERAL INFO","No Action Required",1
"Leverett",2019-01-01,"GENERAL INFO","Notification",1
"Leverett",2019-01-01,"GENERAL INFO","Report Taken",1
"Leverett",2019-01-01,"GENERAL INFO","Services Rendered",1
"Leverett",2019-01-01,"GENERAL INFO","Transferred/Ref to Highway",1
"Leverett",2019-01-01,"ILLEGAL BURN","Extinguished",1
"Leverett",2019-01-01,"ILLEGAL DUMPING","Report Taken",1
"Leverett",2019-01-01,"ILLEGAL DUMPING","Services Rendered",1
"Leverett",2019-01-01,"INVESTIGATION","Investigated",3
"Leverett",2019-01-01,"LARCENY","Investigated",2
"Leverett",2019-01-01,"LARCENY","Report Taken",2
"Leverett",2019-01-01,"LARCENY","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Investigated",3
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","No Action Required",1
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Removed Hazard",2
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Services Rendered",4
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Transferred/Ref to Highway",2
"Leverett",2019-01-01,"LINE DOWN, POWER,PHONE OR CABL","Transferred/Ref to Utility",7
"Leverett",2019-01-01,"LOCKOUT","Services Rendered",3
"Leverett",2019-01-01,"MEDICAL EMERGENCY","BAYSTATE SPRINGFIELD MED CTR",4
"Leverett",2019-01-01,"MEDICAL EMERGENCY","COOLEY DICKINSON HOSPITAL",28
"Leverett",2019-01-01,"MEDICAL EMERGENCY","FRANKLIN MEDICAL CENTER",12
"Leverett",2019-01-01,"MEDICAL EMERGENCY","No Transport/ Patient Refusal",6
"Leverett",2019-01-01,"MEDICAL EMERGENCY","Other Hospital",1
"Leverett",2019-01-01,"MEDICAL EMERGENCY","Patient Refusal",6
"Leverett",2019-01-01,"MEDICAL EMERGENCY","Services Rendered",9
"Leverett",2019-01-01,"MISSING PERSON","Report Taken",1
"Leverett",2019-01-01,"MISCELLANEOUS","Checks Okay",1
"Leverett",2019-01-01,"MISCELLANEOUS","Call Given to an Officer",2
"Leverett",2019-01-01,"MISCELLANEOUS","Dispatch Handled",1
"Leverett",2019-01-01,"MISCELLANEOUS","False Alarm",1
"Leverett",2019-01-01,"MISCELLANEOUS","No Action Required",4
"Leverett",2019-01-01,"MISCELLANEOUS","Report Taken",1
"Leverett",2019-01-01,"MISCELLANEOUS","Services Rendered",18
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Arrest(s) Made",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Call Given to an Officer",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Gone On Arrival",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Investigated",6
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Report Taken",5
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Services Rendered",6
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Unfounded",2
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Vehicle Towed",3
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Checks Okay",1
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Call Given to an Officer",2
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Could Not Locate",1
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Gone On Arrival",2
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Investigated",2
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Negative Contact",2
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Services Rendered",1
"Leverett",2019-01-01,"MOTOR VEHICLE COMPLAINT","Verbal Warning",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDE W/INJURY","Investigated",1
"Leverett",2019-01-01,"MOTOR VEHICLE ACCIDE W/INJURY","Patient Refusal",1
"Leverett",2019-01-01,"MOTOR VEHICLE - STOLEN","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Unknown",2
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","ACCIDENTAL",5
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Arrest(s) Made",6
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Call Cancelled",5
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Citation/Warning Issued",487
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","CRIMINAL APPLICATION",3
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","FRANKLIN MEDICAL CENTER",1
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Investigated",9
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","No Action Required",14
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Report Taken",1
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Services Rendered",2
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Vehicle Towed",23
"Leverett",2019-01-01,"MOTOR VEHICLE VIOLATION","Verbal Warning",363
"Leverett",2019-01-01,"NOISE COMPLAINT","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"NOTIFICATION","Call Given to an Officer",2
"Leverett",2019-01-01,"NOTIFICATION","Investigated",1
"Leverett",2019-01-01,"NOTIFICATION","No Action Required",2
"Leverett",2019-01-01,"NOTIFICATION","Negative Contact",2
"Leverett",2019-01-01,"NOTIFICATION","Notification",1
"Leverett",2019-01-01,"NOTIFICATION","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"NOTIFICATION","Services Rendered",1
"Leverett",2019-01-01,"ODOR INVESTIGATION","Investigated",1
"Leverett",2019-01-01,"OFFICER WANTED","Could Not Locate",1
"Leverett",2019-01-01,"OFFICER WANTED","Investigated",2
"Leverett",2019-01-01,"OFFICER WANTED","Report Taken",3
"Leverett",2019-01-01,"OFFICER WANTED","Peace Restored",2
"Leverett",2019-01-01,"OFFICER WANTED","Services Rendered",6
"Leverett",2019-01-01,"OFFICER WANTED","TRANSFERRED TO STATE POLICE",5
"Leverett",2019-01-01,"PAPERWORK SERVICE","Could Not Locate",1
"Leverett",2019-01-01,"PAPERWORK SERVICE","Investigated",1
"Leverett",2019-01-01,"PAPERWORK SERVICE","No Action Required",1
"Leverett",2019-01-01,"PAPERWORK SERVICE","Negative Contact",13
"Leverett",2019-01-01,"PAPERWORK SERVICE","NOBODY HOME",2
"Leverett",2019-01-01,"PAPERWORK SERVICE","SERVED IN HAND",40
"Leverett",2019-01-01,"PAPERWORK SERVICE","Services Rendered",13
"Leverett",2019-01-01,"PATROL AREA","Citation/Warning Issued",1
"Leverett",2019-01-01,"PATROL AREA","Checks Okay",183
"Leverett",2019-01-01,"PATROL AREA","No Action Required",42
"Leverett",2019-01-01,"PATROL AREA","Negative Contact",1
"Leverett",2019-01-01,"PATROL AREA","Removed Hazard",1
"Leverett",2019-01-01,"PATROL AREA","Services Rendered",37
"Leverett",2019-01-01,"PATROL AREA","Transferred/Ref to Highway",1
"Leverett",2019-01-01,"PATROL AREA","Unfounded",1
"Leverett",2019-01-01,"POWER OUTAGE/FAILURE","Transferred/Ref to Utility",1
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","ACCIDENTAL",3
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Building Checked/Secured",1
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Citation/Warning Issued",47
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Checks Okay",3
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","CRIMINAL APPLICATION",2
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Investigated",7
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","No Action Required",545
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","SERVED IN HAND",1
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Services Rendered",303
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Vehicle Towed",1
"Leverett",2019-01-01,"RADAR/TRAFFIC ENFORCEMENT","Verbal Warning",7
"Leverett",2019-01-01,"ROLLING 9","Citation/Warning Issued",1
"Leverett",2019-01-01,"ROLLING 9","Investigated",2
"Leverett",2019-01-01,"ROLLING 9","No Action Required",2
"Leverett",2019-01-01,"SAFETY HAZARD","Investigated",1
"Leverett",2019-01-01,"SAFETY HAZARD","Removed Hazard",5
"Leverett",2019-01-01,"SAFETY HAZARD","Taken/Referred to Other Agency ",3
"Leverett",2019-01-01,"SAFETY HAZARD","Services Rendered",5
"Leverett",2019-01-01,"SAFETY HAZARD","Transferred/Ref to Highway",3
"Leverett",2019-01-01,"SAFETY HAZARD","Transferred/Ref to Utility",4
"Leverett",2019-01-01,"SERVICE CALL","Call Given to an Officer",1
"Leverett",2019-01-01,"SERVICE CALL","Investigated",1
"Leverett",2019-01-01,"SERVICE CALL","Negative Contact",1
"Leverett",2019-01-01,"SERVICE CALL","Services Rendered",5
"Leverett",2019-01-01,"SHOTS FIRED","Investigated",1
"Leverett",2019-01-01,"SUMMONS SERVICE","SERVED IN HAND",1
"Leverett",2019-01-01,"SUSPICIOUS PERSON","Investigated",1
"Leverett",2019-01-01,"SUSPICIOUS PERSON","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"SUSPICIOUS PERSON","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"SUSPICIOUS ACTIVITY","Checks Okay",1
"Leverett",2019-01-01,"SUSPICIOUS ACTIVITY","Investigated",1
"Leverett",2019-01-01,"SUSPICIOUS ACTIVITY","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE","Citation/Warning Issued",1
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE","Investigated",1
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE","Negative Contact",1
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE","Services Rendered",2
"Leverett",2019-01-01,"SUSPICIOUS VEHICLE","TRANSFERRED TO STATE POLICE",3
"Leverett",2019-01-01,"THREAT","Investigated",1
"Leverett",2019-01-01,"TRAFFIC HAZARD","Investigated",1
"Leverett",2019-01-01,"TRAFFIC HAZARD","No Action Required",1
"Leverett",2019-01-01,"TRAFFIC HAZARD","Removed Hazard",7
"Leverett",2019-01-01,"TRAFFIC HAZARD","Taken/Referred to Other Agency ",3
"Leverett",2019-01-01,"TRAFFIC HAZARD","Report Taken",1
"Leverett",2019-01-01,"TRAFFIC HAZARD","Services Rendered",7
"Leverett",2019-01-01,"TRAFFIC HAZARD","Transferred/Ref to Highway",5
"Leverett",2019-01-01,"TRAFFIC HAZARD","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"TRAFFIC HAZARD","Transferred/Ref to Utility",1
"Leverett",2019-01-01,"TRAFFIC HAZARD","UMASS MEDICAL CTR",1
"Leverett",2019-01-01,"TRAFFIC CONTROL","Citation/Warning Issued",1
"Leverett",2019-01-01,"TRAFFIC CONTROL","No Action Required",51
"Leverett",2019-01-01,"TRAFFIC CONTROL","Services Rendered",17
"Leverett",2019-01-01,"TRESPASS","Investigated",2
"Leverett",2019-01-01,"TRESPASS","Report Taken",1
"Leverett",2019-01-01,"UNWANTED PERSON","FRANKLIN MEDICAL CENTER",1
"Leverett",2019-01-01,"UNWANTED PERSON","Investigated",2
"Leverett",2019-01-01,"UNWANTED PERSON","Peace Restored",1
"Leverett",2019-01-01,"UNWANTED PERSON","Services Rendered",1
"Leverett",2019-01-01,"SERVE WARRANT","Arrest(s) Made",1
"Leverett",2019-01-01,"SERVE WARRANT","Investigated",1
"Leverett",2019-01-01,"SERVE WARRANT","Negative Contact",1
"Leverett",2020-01-01,"209A SERVICE","Could Not Locate",1
"Leverett",2020-01-01,"209A SERVICE","Negative Contact",1
"Leverett",2020-01-01,"ABANDONED 911 CALL","COOLEY DICKINSON HOSPITAL",1
"Leverett",2020-01-01,"ABANDONED 911 CALL","CONFIRMED MIS-DIAL",1
"Leverett",2020-01-01,"ABANDONED 911 CALL","Dispatch Handled",1
"Leverett",2020-01-01,"ABANDONED 911 CALL","Investigated",2
"Leverett",2020-01-01,"ABANDONED 911 CALL","No Action Required",1
"Leverett",2020-01-01,"ABANDONED 911 CALL","TRANSFERRED TO STATE POLICE",1
"Leverett",2020-01-01,"911 CALL","ACCIDENTAL",3
"Leverett",2020-01-01,"911 CALL","COOLEY DICKINSON HOSPITAL",1
"Leverett",2020-01-01,"911 CALL","CONFIRMED MIS-DIAL",5
"Leverett",2020-01-01,"911 CALL","Call Given to an Officer",1
"Leverett",2020-01-01,"911 CALL","Dispatch Handled",1
"Leverett",2020-01-01,"911 CALL","Investigated",2
"Leverett",2020-01-01,"911 CALL","No Action Required",2
"Leverett",2020-01-01,"911 CALL","Services Rendered",1
"Leverett",2020-01-01,"911 CALL","TRANSFERRED TO STATE POLICE",1
"Leverett",2020-01-01,"911 CALL","Unfounded",1
"Leverett",2020-01-01,"911 HANG UP","CONFIRMED MIS-DIAL",2
"Leverett",2020-01-01,"911 HANG UP","No Action Required",1
"Leverett",2020-01-01,"911 HANG UP","Report Taken",1
"Leverett",2020-01-01,"911 MIS DIAL","ACCIDENTAL",1
"Leverett",2020-01-01,"911 MIS DIAL","CONFIRMED MIS-DIAL",4
"Leverett",2020-01-01,"911 MIS DIAL","Could Not Locate",1
"Leverett",2020-01-01,"911 MIS DIAL","Good Intent",1
"Leverett",2020-01-01,"911 MIS DIAL","Investigated",2
"Leverett",2020-01-01,"911 MIS DIAL","Negative Contact",1
"Leverett",2020-01-01,"911 MIS DIAL","TRANSFERRED TO STATE POLICE",2
"Leverett",2020-01-01,"ABANDONED MV","Checks Okay",1
"Leverett",2020-01-01,"ABANDONED MV","Investigated",2
"Leverett",2020-01-01,"ADMINISTRATIVE","Checks Okay",1
"Leverett",2020-01-01,"ADMINISTRATIVE","Faxed To Station",1
"Leverett",2020-01-01,"ADMINISTRATIVE","No Action Required",27
"Leverett",2020-01-01,"ADMINISTRATIVE","Report Taken",2
"Leverett",2020-01-01,"ADMINISTRATIVE","Services Rendered",59
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","ACCIDENTAL",1
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Building Checked/Secured",7
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Call Cancelled",2
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Checks Okay",1
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Call Given to an Officer",1
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Dispatch Handled",1
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","False Alarm",3
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Investigated",3
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","TRANSFERRED TO STATE POLICE",5
"Leverett",2020-01-01,"ALARM BURGLAR OR HOLDUP","Unfounded",1
"Leverett",2020-01-01,"EMS ALARM - LIFELINE ACTIVATED","ACCIDENTAL",2
"Leverett",2020-01-01,"EMS ALARM - LIFELINE ACTIVATED","Call Cancelled",1
"Leverett",2020-01-01,"EMS ALARM - LIFELINE ACTIVATED","No Transport/ Patient Refusal",2
"Leverett",2020-01-01,"FIRE ALARM","False Alarm",1
"Leverett",2020-01-01,"FIRE ALARM","Investigated",4
"Leverett",2020-01-01,"FIRE ALARM","Services Rendered",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Call Given to an Officer",3
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Could Not Locate",3
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Referred to Animal Control",5
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Faxed To Station",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Good Intent",2
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Gone On Arrival",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Investigated",11
"Leverett",2020-01-01,"ANIMAL COMPLAINT","No Action Required",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Negative Contact",2
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Protective Custody",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Patient Refusal",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Taken/Referred to Other Agency ",4
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Report Taken",3
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Services Rendered",19
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Taken to Family/Guardian/Other ",2
"Leverett",2020-01-01,"ANIMAL COMPLAINT","TRANSFERRED TO STATE POLICE",1
"Leverett",2020-01-01,"ANIMAL COMPLAINT","Unfounded",3
"Leverett",2020-01-01,"ASSIST CITIZEN","Dispatch Handled",1
"Leverett",2020-01-01,"ASSIST CITIZEN","Good Intent",3
"Leverett",2020-01-01,"ASSIST CITIZEN","Investigated",2
"Leverett",2020-01-01,"ASSIST CITIZEN","No Action Required",1
"Leverett",2020-01-01,"ASSIST CITIZEN","Negative Contact",1
"Leverett",2020-01-01,"ASSIST CITIZEN","Removed Hazard",1
"Leverett",2020-01-01,"ASSIST CITIZEN","Report Taken",3
"Leverett",2020-01-01,"ASSIST CITIZEN","Services Rendered",29
"Leverett",2020-01-01,"ASSIST OTHER AGENCY","Investigated",4
"Leverett",2020-01-01,"ASSIST OTHER AGENCY","No Action Required",1
"Leverett",2020-01-01,"ASSIST OTHER AGENCY","Notification",1
"Leverett",2020-01-01,"ASSIST OTHER AGENCY","Services Rendered",9
"Leverett",2020-01-01,"ASSIST OTHER AGENCY","TRANSFERRED TO STATE POLICE",1
"Leverett",2020-01-01,"ARTICLES LOST","Investigated",1
"Leverett",2020-01-01,"ARTICLES RECOVERED","Could Not Locate",1
"Leverett",2020-01-01,"ARTICLES RECOVERED","Good Intent",1
"Leverett",2020-01-01,"ARTICLES RECOVERED","Investigated",1
"Leverett",2020-01-01,"ARTICLES RECOVERED","No Action Required",1
"Leverett",2020-01-01,"ARTICLES RECOVERED","Services Rendered",2
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Building Checked/Secured",28
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Checks Okay",476
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Could Not Locate",1
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Faxed To Station",2
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Good Intent",2
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Investigated",3
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","No Action Required",2
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Report Taken",2
"Leverett",2020-01-01,"BUILDING/LOCATION CHECK","Services Rendered",27
"Leverett",2020-01-01,"CHECK WELFARE","Building Checked/Secured",1
"Leverett",2020-01-01,"CHECK WELFARE","COOLEY DICKINSON HOSPITAL",1
"Leverett",2020-01-01,"CHECK WELFARE","Checks Okay",2
"Leverett",2020-01-01,"CHECK WELFARE","Good Intent",1
"Leverett",2020-01-01,"CHECK WELFARE","Investigated",5
"Leverett",2020-01-01,"CHECK WELFARE","Notification",2
"Leverett",2020-01-01,"CHECK WELFARE","Services Rendered",5
"Leverett",2020-01-01,"CHECK WELFARE","TRANSFERRED TO STATE POLICE",1
"Leverett",2020-01-01,"CHECK WELFARE","Unfounded",2
"Leverett",2020-01-01,"Civil Issue","Report Taken",1
"Leverett",2020-01-01,"Civil Issue","Services Rendered",1
"Leverett",2020-01-01,"CRUISER MAINTENANCE","Checks Okay",17
"Leverett",2020-01-01,"CRUISER MAINTENANCE","No Action Required",28
"Leverett",2020-01-01,"CRUISER MAINTENANCE","Services Rendered",105
"Leverett",2020-01-01,"CARBON MONOXIDE HAZARD","Investigated",2
"Leverett",2020-01-01,"CARBON MONOXIDE HAZARD","Services Rendered",2
"Leverett",2020-01-01,"COMMUNITY POLICING","Checks Okay",2
"Leverett",2020-01-01,"COMMUNITY POLICING","Could Not Locate",1
"Leverett",2020-01-01,"COMMUNITY POLICING","Good Intent",5
"Leverett",2020-01-01,"COMMUNITY POLICING","No Action Required",27
"Leverett",2020-01-01,"COMMUNITY POLICING","Services Rendered",33
"Leverett",2020-01-01,"COMPLAINT","Could Not Locate",1
"Leverett",2020-01-01,"COMPLAINT","Investigated",2
"Leverett",2020-01-01,"COMPLAINT","Report Taken",2
"Leverett",2020-01-01,"COMPLAINT","Peace Restored",1
"Leverett",2020-01-01,"COMPLAINT","Services Rendered",9
"Leverett",2020-01-01,"COURT","ACCIDENTAL",1
"Leverett",2020-01-01,"COURT","No Action Required",2
"Leverett",2020-01-01,"Car vs. Deer","Could Not Locate",1
