id,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,Q1_a,Q1_b,Q1_c,Q1_d,Q1_e,Q1_f,Q2,Q3,Q4,Q5,QPID,ABCAGE,Contact,weights_pid
7230128,English,qualified,80,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$10,000 to $24,999",Now Married,Metro area,MidWest,Rented for cash,Ohio,Retired,Not working,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Somewhat concerned,Yes,Not so good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.9049
7230129,English,qualified,74,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Washington,Retired,Not working,Approve,Disapprove,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.5683
7230130,English,qualified,29,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,Virginia,Employed part-time (by someone else),Working part-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,18-29,"No, I am not willing to be interviewed",1.2427
7230131,English,qualified,76,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Divorced,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Other,Working part-time,Approve,Skipped,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.6673
7230132,English,qualified,55,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",5,"$25,000 to $49,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,An Independent,50-64,"No, I am not willing to be interviewed",1.0638
7230133,English,qualified,57,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Excellent,Pessimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",.3743
7230134,English,qualified,51,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-metro area,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.8249
7230135,English,qualified,91,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Widowed,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Somewhat concerned,Yes,Not so good,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.658
7230136,English,qualified,67,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,Approve,Disapprove,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Excellent,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.6061
7230137,English,qualified,24,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$10,000 to $24,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Full Time Student,Not working,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Very concerned,Yes,Good,Pessimistic,An Independent,18-29,"No, I am not willing to be interviewed",1.5142
7230138,English,qualified,62,Master’s degree or above,Bachelors degree or higher,Female,"2+ Races, Non-Hispanic",3,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Alabama,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.8672
7230139,English,qualified,31,Bachelor’s degree,Bachelors degree or higher,Female,"2+ Races, Non-Hispanic",1,"$50,000 to $74,999",Never married,Metro area,NorthEast,Rented for cash,Pennsylvania,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not concerned at all,No,Not so good,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",1.5895
7230140,English,qualified,59,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Excellent,Optimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",.3922
7230141,English,qualified,31,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Tennessee,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Good,Optimistic,An Independent,30-49,"No, I am not willing to be interviewed",.9301
7230142,English,qualified,44,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",5,"$75,000 to $99,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Poor,Pessimistic,A Republican,30-49,"Yes, I am willing to be interviewed",.874
7230143,English,qualified,56,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Good,Optimistic,An Independent,50-64,"No, I am not willing to be interviewed",.8493
7230144,English,qualified,52,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",5,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",1.6103
7230145,English,qualified,37,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Not so concerned,Yes,Excellent,Pessimistic,An Independent,30-49,"Yes, I am willing to be interviewed",.9365
7230146,English,qualified,66,Bachelor’s degree,Bachelors degree or higher,Female,"Other, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,California,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Excellent,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.5985
7230147,English,qualified,62,Some college or Associate degree,Some college,Male,"Other, Non-Hispanic",1,"$100,000 to $149,999",Now Married,Non-metro area,South,Rented for cash,Oklahoma,Retired,Working full-time,Approve,Approve,Approve,Disapprove,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.5266
7230148,English,qualified,74,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",5,"$150,000 or more",Widowed,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Retired,Not working,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Good,Optimistic,An Independent,65+,"No, I am not willing to be interviewed",.5324
7230149,English,qualified,52,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Not so concerned,Yes,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.6446
7230150,English,qualified,29,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",1,"$50,000 to $74,999",Never married,Metro area,West,Rented for cash,California,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not concerned at all,Yes,Poor,Pessimistic,An Independent,18-29,"Yes, I am willing to be interviewed",2.1104
7230151,English,qualified,36,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$10,000 to $24,999",Never married,Metro area,MidWest,Owned or being bought by you or someone in your household,Kansas,Employed full-time (by someone else),Working part-time,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Somewhat concerned,Yes,Not so good,Optimistic,A Republican,30-49,"Yes, I am willing to be interviewed",1.0316
7230152,English,qualified,71,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.617
7230153,English,qualified,70,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,An Independent,65+,"No, I am not willing to be interviewed",.9196
7230154,English,qualified,35,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",6 or more,"$100,000 to $149,999",Now Married,Metro area,MidWest,Rented for cash,Ohio,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,No,Poor,Pessimistic,Something else,30-49,"No, I am not willing to be interviewed",1.5133
7230155,English,qualified,53,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Utah,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Good,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.7885
7230156,English,qualified,34,High school graduate (high school diploma or the equivalent GED),High school,Female,"Black, Non-Hispanic",2,"Less than $10,000",Never married,Metro area,South,Rented for cash,Texas,Other,Not working,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Not so concerned,Yes,Good,Pessimistic,A Democrat,30-49,"No, I am not willing to be interviewed",2.4138
7230157,English,qualified,32,No high school diploma or GED,Less than high school,Male,Hispanic,2,"$75,000 to $99,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Maryland,Employed full-time (by someone else),Working full-time,Approve,Skipped,Approve,Approve,Skipped,Skipped,Not so concerned,Yes,Good,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",1.659
7230158,English,qualified,65,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",4,"$25,000 to $49,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Louisiana,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Disapprove,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",1.5897
7230159,English,qualified,40,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro area,West,Owned or being bought by you or someone in your household,Oregon,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.6649
7230160,English,qualified,32,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,No,Poor,Pessimistic,A Republican,30-49,"No, I am not willing to be interviewed",.8152
7230161,English,qualified,36,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",6 or more,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,Yes,Poor,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",.9365
7230162,English,qualified,58,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",1,"$100,000 to $149,999",Now Married,Metro area,West,Occupied without payment of cash rent,California,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Not so good,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.9773
7230163,English,qualified,23,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"Less than $10,000",Never married,Metro area,MidWest,Rented for cash,Michigan,Employed part-time (by someone else),Working part-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Good,Optimistic,A Democrat,18-29,"No, I am not willing to be interviewed",.9859
7230164,English,qualified,33,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Pessimistic,A Democrat,30-49,"Yes, I am willing to be interviewed",.6126
7230165,English,qualified,57,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.6582
7230166,English,qualified,70,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Non-metro area,West,Owned or being bought by you or someone in your household,Oregon,Retired,Not working,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.6673
7230167,English,qualified,48,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$25,000 to $49,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not concerned at all,No,Poor,Pessimistic,A Republican,30-49,"No, I am not willing to be interviewed",.9258
7230168,English,qualified,84,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Widowed,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Excellent,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.433
7230169,English,qualified,54,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Employed part-time (by someone else),Working part-time,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Not so concerned,Yes,Skipped,Optimistic,A Republican,50-64,"No, I am not willing to be interviewed",.6743
7230170,English,qualified,41,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",6 or more,"$100,000 to $149,999",Now Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",1.0174
7230171,English,qualified,46,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Homemaker,Not working,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Very concerned,Yes,Not so good,Optimistic,A Republican,30-49,"No, I am not willing to be interviewed",.6039
7230172,English,qualified,68,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$10,000 to $24,999",Divorced,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Republican,65+,"No, I am not willing to be interviewed",.5826
7230173,English,qualified,59,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$50,000 to $74,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Good,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.7887
7230174,English,qualified,58,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",6 or more,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Hawaii,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Good,Optimistic,An Independent,50-64,"Yes, I am willing to be interviewed",.7603
7230175,English,qualified,54,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Non-metro area,South,Owned or being bought by you or someone in your household,North Carolina,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Pessimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.5643
7230176,English,qualified,60,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,A Republican,50-64,"Yes, I am willing to be interviewed",.4501
7230177,English,qualified,59,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Disapprove,Not so concerned,Yes,Good,Pessimistic,An Independent,50-64,"Yes, I am willing to be interviewed",.8617
7230178,English,qualified,39,High school graduate (high school diploma or the equivalent GED),High school,Female,Hispanic,3,"$25,000 to $49,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Colorado,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Very concerned,Yes,Good,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",3.0282
7230179,English,qualified,66,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Missouri,Retired,Not working,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.4023
7230180,English,qualified,36,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$25,000 to $49,999",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed part-time (by someone else),Working part-time,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Not concerned at all,Yes,Not so good,Pessimistic,A Republican,30-49,"Yes, I am willing to be interviewed",.9328
7230181,English,qualified,21,No high school diploma or GED,Less than high school,Male,"White, Non-Hispanic",4,"$10,000 to $24,999",Never married,Metro area,MidWest,Rented for cash,Minnesota,Full Time Student,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,18-29,"No, I am not willing to be interviewed",1.0715
7230182,English,qualified,82,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,South Carolina,Self-employed,Working part-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.4948
7230183,English,qualified,60,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"Less than $10,000",Never married,Non-metro area,MidWest,Occupied without payment of cash rent,Missouri,Self-employed,Not working,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Not so good,Pessimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.4646
7230184,English,qualified,42,No high school diploma or GED,Less than high school,Male,Hispanic,2,"$10,000 to $24,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not concerned at all,No,Poor,Optimistic,A Republican,30-49,"No, I am not willing to be interviewed",2.1718
7230185,English,qualified,40,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Divorced,Non-metro area,MidWest,Rented for cash,Illinois,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Somewhat concerned,Yes,Excellent,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.8072
7230186,English,qualified,76,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.6143
7230187,English,qualified,60,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"Less than $10,000",Divorced,Non-metro area,West,Rented for cash,California,Employed part-time (by someone else),Not working,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Not concerned at all,No,Good,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.8178
7230188,English,qualified,67,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.8848
7230189,English,qualified,65,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"Less than $10,000",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Very concerned,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.6081
7230190,English,qualified,63,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Kentucky,Self-employed,Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Not so good,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.6582
7230191,English,qualified,52,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro area,South,Rented for cash,Texas,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not concerned at all,No,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",1.1928
7230192,English,qualified,55,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro area,NorthEast,Rented for cash,Pennsylvania,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Not so good,Pessimistic,Something else,50-64,"Yes, I am willing to be interviewed",.9977
7230193,English,qualified,61,Bachelor’s degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",4,"$100,000 to $149,999",Divorced,Metro area,West,Rented for cash,California,Retired,Working full-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",1.1315
7230194,English,qualified,79,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$50,000 to $74,999",Widowed,Metro area,West,Owned or being bought by you or someone in your household,Washington,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",1.1193
7230195,English,qualified,46,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$100,000 to $149,999",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Self-employed,Working full-time,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Somewhat concerned,Yes,Not so good,Pessimistic,A Republican,30-49,"Yes, I am willing to be interviewed",.638
7230196,English,qualified,54,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,A Republican,50-64,"No, I am not willing to be interviewed",.6039
7230197,English,qualified,55,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Excellent,Optimistic,An Independent,50-64,"No, I am not willing to be interviewed",.764
7230198,English,qualified,72,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Not so concerned,Yes,Poor,Optimistic,Something else,65+,"No, I am not willing to be interviewed",1.0124
7230199,English,qualified,77,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",5,"$50,000 to $74,999",Divorced,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Excellent,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.5148
7230200,English,qualified,32,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",5,"$75,000 to $99,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed part-time (by someone else),Working part-time,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,No,Good,Pessimistic,A Republican,30-49,"No, I am not willing to be interviewed",.9076
7230201,English,qualified,75,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Utah,Self-employed,Working part-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Poor,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.6423
