index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
1078,58th International Trophy “Settecolli”,58.29,06-25-21,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,38,Rome,ITA,0:0:58:29
1079,Meeting International FFN - Golden Tour,58.29,03-24-19,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,08-02-94,39,Marseille,FRA,0:0:58:29
1080,19th FINA World Championships Budapest 2022,58.31,06-19-22,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,42,Budapest,HUN,0:0:58:31
1081,Victorian Open Championships 2022,58.31,02-19-22,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,43,Melbourne,AUS,0:0:58:31
1082,Atlanta Classic 2021,58.31,05-15-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10-12-94,44,Atlanta,USA,0:0:58:31
1083,17th FINA World Championships 2017,58.31,07-30-17,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,45,Budapest,HUN,0:0:58:31
1084,Olympic Games London 2012,58.33,07-30-12,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,46,London,GBR,0:0:58:33
1085,Olympic Games Tokyo 2020,58.33,07-26-21,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,40,Tokyo,JPN,0:0:58:33
1086,FINA/airweave Swimming World Cup 2015,58.34,11-03-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,47,Doha,QAT,0:0:58:34
1087,NSW Open State Championships 2022,58.35,03-05-22,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,48,Sydney,AUS,0:0:58:35
1088,US Olympic Team Trials - Wave II,58.35,06-15-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,49,Omaha,USA,0:0:58:35
1089,US Olympic Team Trials - Wave II,58.35,06-14-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,50,Omaha,USA,0:0:58:35
1090,European Championships 2016,58.36,05-17-16,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,41,London,GBR,0:0:58:36
1091,FINA/airweave Swimming World Cup 2015,58.37,10-29-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,51,Tokyo,JPN,0:0:58:37
1092,Phillips 66 International Team Trials 2022,58.37,04-29-22,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,42,Greensboro,USA,0:0:58:37
1093,Italian National Championships (50m),58.37,04-01-21,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,43,Riccione,ITA,0:0:58:37
1094,19th FINA World Championships Budapest 2022,58.39,06-25-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,52,Budapest,HUN,0:0:58:39
1095,Phillips 66 International Team Trials 2022,58.39,04-29-22,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,06-30-04,53,Greensboro,USA,0:0:58:39
1096,15th FINA World Championships 2013,58.39,08-04-13,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,54,Barcelona,ESP,0:0:58:39
1097,Olympic Games London 2012,58.39,07-29-12,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,55,London,GBR,0:0:58:39
1098,19th FINA World Championships Budapest 2022,58.40,06-25-22,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,56,Budapest,HUN,0:0:58:40
1099,19th FINA World Championships Budapest 2022,58.40,06-20-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,57,Budapest,HUN,0:0:58:40
1100,58th International Trophy “Settecolli”,58.40,06-25-21,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,44,Rome,ITA,0:0:58:40
1101,Canadian Swimming Trials 2022,58.41,04-05-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,58,Victoria,CAN,0:0:58:41
1102,13th Pan Pacific Championships 2018,58.41,08-10-18,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,59,Tokyo,JPN,0:0:58:41
1103,British Championships 2016,58.41,04-12-16,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,45,Glasgow,GBR,0:0:58:41
1104,SNSW State Open Championships 2021,58.42,03-19-21,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,60,Sydney,AUS,0:0:58:42
1105,Canadian Swimming Trials 2017,58.42,04-06-17,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,61,Victoria,CAN,0:0:58:42
1106,15th FINA World Championships 2013,58.42,07-30-13,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,62,Barcelona,ESP,0:0:58:42
1107,Olympic Games Tokyo 2020,58.43,07-27-21,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,63,Tokyo,JPN,0:0:58:43
1108,Atlanta Classic 2021,58.43,05-15-21,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,64,Atlanta,USA,0:0:58:43
1109,2011 Canada Cup,58.43,11-25-11,Women 100 Backstroke LCM Female,CAN,Canada,"RUSSELL, Sinead",F,06-15-93,65,Toronto,CAN,0:0:58:43
1110,Antwerp Diamond Speedo Race,58.43,03-07-20,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,46,Antwerp,BEL,0:0:58:43
1111,European Championships 2021,58.44,05-20-21,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10-03-97,66,Budapest,HUN,0:0:58:44
1112,European Championships 2022,58.44,08-11-22,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,47,Rome,ITA,0:0:58:44
1113,Olympic Games Tokyo 2020,58.45,07-27-21,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,67,Tokyo,JPN,0:0:58:45
1114,Counsilman Classic 2019,58.45,06-15-19,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,68,Indianapolis,USA,0:0:58:45
1115,Olympic Games Rio 2016,58.45,08-08-16,Women 100 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,69,Rio de Janeiro,BRA,0:0:58:45
1116,European Championships 2021,58.45,05-17-21,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,48,Budapest,HUN,0:0:58:45
1117,Olympic Games Tokyo 2020,58.46,07-26-21,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,70,Tokyo,JPN,0:0:58:46
1118,19th FINA World Championships Budapest 2022,58.46,06-18-22,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,49,Budapest,HUN,0:0:58:46
1119,European Championships 2021,58.46,05-17-21,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,08-02-94,50,Budapest,HUN,0:0:58:46
1120,18th FINA World Championships 2019,58.46,07-22-19,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,51,Gwangju,KOR,0:0:58:46
1121,Olympic Games London 2012,58.46,07-29-12,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,05-25-88,52,London,GBR,0:0:58:46
1122,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,58.47,06-06-21,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,53,Barcelona,ESP,0:0:58:47
1123,Canadian Swimming Trials 2022,58.48,04-05-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,71,Victoria,CAN,0:0:58:48
1124,May High Performance Test Event,58.48,05-07-21,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,72,Toronto,CAN,0:0:58:48
1125,13th FINA World Championships 2009,58.48,07-27-09,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,05-08-90,73,Rome,ITA,0:0:58:48
1126,Australian National Championships (50m),58.49,05-20-22,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,74,Adelaide,AUS,0:0:58:49
1127,European Championships 2021,58.49,05-21-21,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10-03-97,75,Budapest,HUN,0:0:58:49
1128,Belarus National Championships (50m),58.49,04-17-19,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,08-02-94,54,Brest,BLR,0:0:58:49
1129,16th FINA World Championships 2015,58.49,08-02-15,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,05-25-88,55,Kazan,RUS,0:0:58:49
1130,US Olympic Team Trials - Wave II,58.50,06-14-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10-12-94,76,Omaha,USA,0:0:58:50
1131,18th FINA World Championships 2019,58.50,07-22-19,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,77,Gwangju,KOR,0:0:58:50
1132,Olympic Games London 2012,58.50,08-04-12,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,78,London,GBR,0:0:58:50
1133,US Olympic Team Trials - Wave II,58.50,06-13-21,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,56,Omaha,USA,0:0:58:50
1134,British Swimming Championships (50m),58.50,04-16-19,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,57,Glasgow,GBR,0:0:58:50
1135,FINA/airweave Swimming World Cup 2015,58.51,11-07-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,79,Dubai,UAE,0:0:58:51
1136,Phillips 66 International Team Trials 2022,58.51,04-29-22,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,04-18-99,58,Greensboro,USA,0:0:58:51
1137,Swimmeet Amsterdam,58.52,07-03-21,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,59,Amsterdam,NED,0:0:58:52
1138,Antwerp Diamond Speedo Race,58.52,03-07-20,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,60,Antwerp,BEL,0:0:58:52
1139,16th FINA World Championships 2015,58.52,08-03-15,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,61,Kazan,RUS,0:0:58:52
1140,16th FINA World Championships 2015,58.52,08-02-15,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,62,Kazan,RUS,0:0:58:52
1141,17th FINA World Championships 2017,58.53,07-30-17,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,80,Budapest,HUN,0:0:58:53
1142,26th International Meeting Uster 2018,58.54,02-04-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,81,Uster,SUI,0:0:58:54
1143,17th FINA World Championships 2017,58.54,07-30-17,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,82,Budapest,HUN,0:0:58:54
1144,Counsilman Classic 2019,58.55,06-15-19,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,83,Indianapolis,USA,0:0:58:55
1145,Canadian Swimming Trials 2019,58.55,04-03-19,Women 100 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,05-28-00,84,Toronto,CAN,0:0:58:55
1146,19th FINA World Championships Budapest 2022,58.55,06-18-22,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,63,Budapest,HUN,0:0:58:55
1147,Olympic Games Tokyo 2020,58.56,07-26-21,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10-03-97,85,Tokyo,JPN,0:0:58:56
1148,TYR Pro Swim Series Des Moines 2020,58.56,03-07-20,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,86,Des Moines,USA,0:0:58:56
1149,16th FINA World Championships 2015,58.56,08-03-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,87,Kazan,RUS,0:0:58:56
1150,British National Championships (50m),58.56,04-18-17,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,64,Sheffield,GBR,0:0:58:56
1151,19th FINA World Championships Budapest 2022,58.57,06-19-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,88,Budapest,HUN,0:0:58:57
1152,Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,58.57,05-29-22,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,89,Canet en Roussillon,FRA,0:0:58:57
1153,Hancock Prospecting Australian Swimming Trials 2021,58.57,06-13-21,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,90,Adelaide,AUS,0:0:58:57
1154,US National Championships (50m),58.57,06-30-17,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,91,Indianapolis,USA,0:0:58:57
1155,Olympic Games London 2012,58.57,08-03-12,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,92,London,GBR,0:0:58:57
1156,Italian National Championships (50m),58.57,04-10-22,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,65,Milano,ITA,0:0:58:57
1157,17th FINA World Championships 2017,58.58,07-25-17,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,93,Budapest,HUN,0:0:58:58
1158,British National Championships (50m),58.58,04-05-22,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,66,Sheffield,GBR,0:0:58:58
1159,European Championships 2021,58.58,05-18-21,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,67,Budapest,HUN,0:0:58:58
1160,Belarus National Championships (50m),58.58,04-17-19,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,08-02-94,68,Brest,BLR,0:0:58:58
1161,13th FINA World Championships 2009,58.58,07-27-09,Men 100 Breaststroke LCM Male,AUS,Australia,"RICKARD, Brenton",M,10-19-83,69,Rome,ITA,0:0:58:58
1162,Phillips 66 International Team Trials 2022,58.59,04-29-22,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,94,Greensboro,USA,0:0:58:59
1163,Olympic Games Tokyo 2020,58.59,07-26-21,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,95,Tokyo,JPN,0:0:58:59
1164,Hancock Prospecting Australian Swimming Trials 2021,58.59,06-13-21,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,96,Adelaide,AUS,0:0:58:59
1165,17th FINA World Championships 2017,58.59,07-25-17,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,97,Budapest,HUN,0:0:58:59
1166,FINA/airweave Swimming World Cup 2015,58.59,09-30-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,98,Beijing,CHN,0:0:58:59
1167,21st Commonwealth Games 2018,58.59,04-06-18,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,70,Gold Coast,AUS,0:0:58:59
1168,16th FINA World Championships 2015,58.59,08-03-15,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,05-25-88,71,Kazan,RUS,0:0:58:59
1169,16th FINA World Championships 2015,58.59,08-02-15,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,05-25-88,72,Kazan,RUS,0:0:58:59
1170,22nd Commonwealth Games 2022,58.60,07-31-22,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,99,Birmingham,GBR,0:0:58:60
1171,US Olympic Team Trials - Wave II,58.60,06-15-21,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,100,Omaha,USA,0:0:58:60
1172,Hancock Prospecting Australian Swimming Club Championships 2021,58.60,04-15-21,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,101,Gold Coast,AUS,0:0:58:60
1173,18th FINA World Championships 2019,58.60,07-23-19,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,102,Gwangju,KOR,0:0:58:60
1174,18th FINA World Championships 2019,58.60,07-22-19,Women 100 Backstroke LCM Female,AUS,Australia,"ATHERTON, Minna",F,05-17-00,103,Gwangju,KOR,0:0:58:60
1175,Phillips 66 International Team Trials 2022,58.61,04-29-22,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,01-28-01,104,Greensboro,USA,0:0:58:61
1176,13th Pan Pacific Championships 2018,58.61,08-10-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,105,Tokyo,JPN,0:0:58:61
1177,FINA Champions Swim Series 2020,58.61,01-14-20,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,73,Shenzen,CHN,0:0:58:61
1178,55th International Trophy “Settecolli”,58.61,06-29-18,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,74,Rome,ITA,0:0:58:61
1179,US Olympic Team Trials - Wave II,58.62,06-14-21,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,01-28-01,106,Omaha,USA,0:0:58:62
1180,17th FINA World Championships 2017,58.62,07-24-17,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,107,Budapest,HUN,0:0:58:62
1181,Hancock Prospecting Australian,58.62,04-10-17,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,108,Brisbane,AUS,0:0:58:62
1182,19th FINA World Championships Budapest 2022,58.62,06-19-22,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,75,Budapest,HUN,0:0:58:62
1183,Olympic Games Tokyo 2020,58.62,07-24-21,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,04-18-99,76,Tokyo,JPN,0:0:58:62
1184,USA Winter National Championships (50m),58.63,12-06-19,Women 100 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,08-12-02,109,Atlanta,USA,0:0:58:63
1185,13th Pan Pacific Championships 2018,58.63,08-12-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,110,Tokyo,JPN,0:0:58:63
1186,21st Commonwealth Games 2018,58.63,04-07-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,111,Gold Coast,AUS,0:0:58:63
1187,18th FINA World Championships 2019,58.63,07-22-19,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10-12-95,77,Gwangju,KOR,0:0:58:63
1188,Eindhoven Qualification Meet,58.64,04-10-21,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,78,Eindhoven,NED,0:0:58:64
1189,European Championships 2018,58.64,08-04-18,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,79,Glasgow,GBR,0:0:58:64
1190,17th FINA World Championships 2017,58.64,07-23-17,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,08-13-93,80,Budapest,HUN,0:0:58:64
1191,13th FINA World Championships 2009,58.64,07-27-09,Men 100 Breaststroke LCM Male,FRA,France,"DUBOSCQ, Hugues",M,08-29-81,81,Rome,ITA,0:0:58:64
1192,Eindhoven Qualification Meet,58.65,04-11-21,Women 100 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,05-22-94,112,Eindhoven,NED,0:0:58:65
1193,19th FINA World Championships Budapest 2022,58.65,06-19-22,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,82,Budapest,HUN,0:0:58:65
1194,Swimcup Amsterdam,58.65,12-14-19,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,83,Amsterdam,NED,0:0:58:65
1195,21st Commonwealth Games 2018,58.66,04-07-18,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,113,Gold Coast,AUS,0:0:58:66
1196,21st Commonwealth Games 2018,58.66,04-06-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,114,Gold Coast,AUS,0:0:58:66
1197,Olympic Games Rio 2016,58.66,08-12-16,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,115,Rio de Janeiro,BRA,0:0:58:66
1198,British Swimming Championships (50m),58.66,04-16-19,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,84,Glasgow,GBR,0:0:58:66
1199,19th FINA World Championships Budapest 2022,58.67,06-20-22,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,06-30-04,116,Budapest,HUN,0:0:58:67
1200,US National Championships (50m),58.67,06-25-13,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,117,Indianapolis,USA,0:0:58:67
1201,TYR Pro Swim Series Indianapolis 2021,58.67,05-13-21,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,04-18-99,85,Indianapolis,USA,0:0:58:67
1202,18th FINA World Championships 2019,58.67,07-21-19,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10-12-95,86,Gwangju,KOR,0:0:58:67
1203,Ukrainian National Cup,58.67,06-13-09,Men 100 Breaststroke LCM Male,UKR,Ukraine,"BORYSIK, Igor",M,06-02-84,87,Donetsk,UKR,0:0:58:67
1204,USA Winter National Championships (50m),58.68,12-06-19,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,118,Atlanta,USA,0:0:58:68
1205,Olympic Games London 2012,58.68,07-30-12,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,119,London,GBR,0:0:58:68
1206,Q-Cup Heidelberg,58.68,04-02-22,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,88,Heidelberg,GER,0:0:58:68
1207,Olympic Games Tokyo 2020,58.68,07-24-21,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,08-01-99,89,Tokyo,JPN,0:0:58:68
1208,Belarus National Championships (50m),58.68,04-21-21,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,08-02-94,90,Brest,BLR,0:0:58:68
1209,Eindhoven Qualification Meet,58.68,04-10-21,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,91,Eindhoven,NED,0:0:58:68
1210,European Championships 2014,58.68,08-18-14,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,92,Berlin,GER,0:0:58:68
1211,Toyota US Open 2021,58.69,12-03-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,120,Greensboro,USA,0:0:58:69
1212,Olympic Games Tokyo 2020,58.69,07-25-21,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10-03-97,121,Tokyo,JPN,0:0:58:69
1213,19th FINA World Championships Budapest 2022,58.69,06-18-22,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,93,Budapest,HUN,0:0:58:69
1214,Rotterdam Qualification Meet,58.69,12-05-20,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,94,Rotterdam,NED,0:0:58:69
1215,Olympic Games Rio 2016,58.69,08-07-16,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,05-25-88,95,Rio de Janeiro,BRA,0:0:58:69
1216,Olympic Games Tokyo 2020,58.70,07-27-21,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10-03-97,122,Tokyo,JPN,0:0:58:70
1217,21st Commonwealth Games 2018,58.70,04-06-18,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,123,Gold Coast,AUS,0:0:58:70
1218,McDonalds Queensland Championships 2015,58.70,12-14-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,124,Brisbane,AUS,0:0:58:70
1219,15th FINA World Championships 2013,58.70,08-04-13,Women 100 Backstroke LCM Female,JPN,Japan,"TERAKAWA, Aya",F,11-12-84,125,Barcelona,ESP,0:0:58:70
1220,Eindhoven Qualification Meet,58.71,04-10-22,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,96,Eindhoven,NED,0:0:58:71
1221,14th FINA World Championships 2011,58.71,07-25-11,Men 100 Breaststroke LCM Male,NOR,Norway,"DALE OEN, Alexander",M,05-21-85,97,Shanghai,CHN,0:0:58:71
1222,US Olympic Team Trials - Wave II,58.72,06-15-21,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10-12-94,126,Omaha,USA,0:0:58:72
1223,13th Pan Pacific Championships 2018,58.72,08-10-18,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,127,Tokyo,JPN,0:0:58:72
1224,National Chinese Championships (50m),58.72,04-08-17,Women 100 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,01-07-96,128,Qingdae,CHN,0:0:58:72
1225,FINA/airweave Swimming World Cup 2015,58.72,10-04-15,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,129,Singapore,SGP,0:0:58:72
1226,Olympic Games Tokyo 2020,58.72,07-25-21,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10-12-95,98,Tokyo,JPN,0:0:58:72
1227,56th International Trophy “Settecolli”,58.72,06-21-19,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,99,Rome,ITA,0:0:58:72
1228,54th International Trophy “Settecolli”,58.72,06-23-17,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12-28-94,100,Rome,ITA,0:0:58:72
